2024-04-24 10:47:10 status half-installed libsmartcols1:amd64 2.39.3-9ubuntu6
2024-04-24 10:47:10 status unpacked libsmartcols1:amd64 2.39.3-9ubuntu6
2024-04-24 10:47:10 install libss2:amd64 <none> 1.47.0-2.4~exp1ubuntu4
2024-04-24 10:47:10 status half-installed libss2:amd64 1.47.0-2.4~exp1ubuntu4
2024-04-24 10:47:10 status unpacked libss2:amd64 1.47.0-2.4~exp1ubuntu4
2024-04-24 10:47:10 install libssl3t64:amd64 <none> 3.0.13-0ubuntu3
2024-04-24 10:47:10 status half-installed libssl3t64:amd64 3.0.13-0ubuntu3
2024-04-24 10:47:10 status unpacked libssl3t64:amd64 3.0.13-0ubuntu3
2024-04-24 10:47:10 install libsystemd0:amd64 <none> 255.4-1ubuntu8
2024-04-24 10:47:10 status half-installed libsystemd0:amd64 255.4-1ubuntu8
2024-04-24 10:47:10 status unpacked libsystemd0:amd64 255.4-1ubuntu8
2024-04-24 10:47:10 install libtinfo6:amd64 <none> 6.4+20240113-1ubuntu2
2024-04-24 10:47:10 status half-installed libtinfo6:amd64 6.4+20240113-1ubuntu2
2024-04-24 10:47:10 status unpacked libtinfo6:amd64 6.4+20240113-1ubuntu2
2024-04-24 10:47:10 install libudev1:amd64 <none> 255.4-1ubuntu8
2024-04-24 10:47:10 status half-installed libudev1:amd64 255.4-1ubuntu8
2024-04-24 10:47:10 status unpacked libudev1:amd64 255.4-1ubuntu8
2024-04-24 10:47:10 install libuuid1:amd64 <none> 2.39.3-9ubuntu6
2024-04-24 10:47:10 status half-installed libuuid1:amd64 2.39.3-9ubuntu6
2024-04-24 10:47:10 status unpacked libuuid1:amd64 2.39.3-9ubuntu6
2024-04-24 10:47:10 install libzstd1:amd64 <none> 1.5.5+dfsg2-2build1
2024-04-24 10:47:10 status half-installed libzstd1:amd64 1.5.5+dfsg2-2build1
2024-04-24 10:47:10 status unpacked libzstd1:amd64 1.5.5+dfsg2-2build1
2024-04-24 10:47:10 install login:amd64 <none> 1:4.13+dfsg1-4ubuntu3
2024-04-24 10:47:10 status half-installed login:amd64 1:4.13+dfsg1-4ubuntu3
2024-04-24 10:47:10 status unpacked login:amd64 1:4.13+dfsg1-4ubuntu3
2024-04-24 10:47:11 install logsave:amd64 <none> 1.47.0-2.4~exp1ubuntu4
2024-04-24 10:47:11 status half-installed logsave:amd64 1.47.0-2.4~exp1ubuntu4
2024-04-24 10:47:11 status unpacked logsave:amd64 1.47.0-2.4~exp1ubuntu4
